NumFloors,YearBuilt,YearAlter1,YearAlter2
7,1915,1961,0
21,1927,0,0
10,1935,0,0
45,1968,0,0
41,1977,0,0
2,1937,1987,0
4,1937,0,0
31,1933,0,0
13,1974,0,0
11,1974,0,0
27,1992,0,0
7,1921,0,0
25,1965,0,0
27,1992,0,0
12,1977,0,0
3,1910,1980,0
3,1910,0,0
4,1900,0,0
4,1915,0,0
5,1920,1987,0
8,1910,2007,2007
5,1915,2009,0
6,1915,0,0
6,1910,1961,0
5,1920,1961,0
3,1910,1966,0
6,1910,0,0
6,1920,1966,0
4,1910,1966,0
6,1915,1970,0
5,1915,0,0
5,1920,0,0
5,1900,1961,0
3,1915,0,0
2,1920,0,0
4,1920,0,0
5,1920,1987,0
3,1915,1961,0
5,1915,1984,0
6,1920,0,0
5,1920,0,0
4,1913,0,0
4,1913,0,0
1,1977,1989,0
2,1920,1985,0
2,1920,0,0
5,1915,1961,0
5,1915,1988,0
5,1900,0,0
4,1920,0,0
4,1905,0,0
4,1920,0,0
4,1915,0,0
4,1915,0,0
3,1920,1962,0
6,1920,1991,1991
5,1970,0,0
5,1915,0,0
4,1915,0,0
8,1920,0,0
5,1910,0,0
5,1915,1986,0
4,1915,0,0
5,1920,0,0
6,1910,1984,0
3,1915,0,0
4,1920,1986,0
4,1915,0,0
3,1915,0,0
5,1920,1979,2005
6,1910,1989,1989
3,1915,0,0
3,1915,1994,0
7,1945,1987,0
7,1945,0,0
7,1915,1985,0
7,1915,0,0
5,1915,1995,0
5,1910,1996,0
5,1911,1995,0
5,1915,0,0
6,1915,0,0
5,1983,0,0
5,1915,1988,0
4,1910,0,0
4,1910,0,0
4,1915,1985,0
5,1920,1987,0
4,1915,0,0
4,1910,1957,0
6,1915,0,0
5,1915,0,0
6,1915,0,0
5,1920,1972,0
5,1915,1986,0
5,1915,2007,0
6,1915,0,0
3,1915,1986,0
6,1915,0,0
8,1999,0,0
5,1909,0,0
5,1915,0,0
6,1915,0,0
2,1915,1993,0
5,1915,0,0
6,1915,1981,2005
5,1915,0,0
6,1915,2005,0
6,1920,0,0
5,1915,1986,0
6,1915,2007,0
4,1915,0,0
4,1899,0,0
5,1924,0,0
5,1915,0,0
5,1915,0,0
5,1900,0,0
6,1915,0,0
5,1915,1986,0
5,1900,1980,0
7,1920,2006,0
4,1910,1989,0
4,1915,0,0
4,1900,0,0
5,1948,0,0
5,1900,1983,0
5,1910,1989,2003
6,1910,1989,0
1,1935,1987,0
9,1929,0,0
24,1939,0,0
10,1934,0,0
1,1915,0,0
12,1958,0,0
15,1999,0,0
13,1920,0,0
19,2001,0,0
5,1900,0,0
5,1900,1965,0
12,1972,0,0
5,1915,0,0
11,1900,0,0
12,1920,0,0
